Unnamed: 0,Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,power_per_rpm,torque_per_rpm,Age
685,Toyota,1290000,121000,Diesel,Manual,Ludhiana,Other,Second,Individual,2982.0,AWD,4705.0,1840.0,1850.0,7.0,80.0,0.0469444444444444,0.245,10
1810,Maruti Suzuki,825000,44000,Petrol,Manual,Delhi,White,First,Individual,1462.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.0171666666666666,0.0313636363636363,3
437,Hyundai,1400000,13000,Petrol,Automatic,Mumbai,White,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.0317525773195876,3
886,Volkswagen,699000,53929,Petrol,Manual,Bangalore,Red,First,Individual,999.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,0.0120967741935483,0.0316666666666666,3
414,Maruti Suzuki,610000,3800,Other,Manual,Delhi,White,First,Individual,998.0,FWD,3565.0,1520.0,1564.0,4.0,55.0,0.0105454545454545,0.0222857142857142,0
1436,Honda,1199000,26497,Petrol,Manual,Kolkata,White,Second,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.0177272727272727,0.0315217391304347,2
697,Maruti Suzuki,725000,42000,Diesel,Manual,Delhi,White,First,Individual,1248.0,FWD,4296.0,1695.0,1685.0,7.0,45.0,0.02225,0.1142857142857142,5
1116,Honda,1340000,11000,Petrol,Automatic,Mumbai,Black,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.0177272727272727,0.0315217391304347,1
6,Mercedes-Benz,1898999,47000,Petrol,Automatic,Mumbai,White,Second,Individual,1991.0,FWD,4630.0,1777.0,1432.0,5.0,,0.0329090909090909,0.25,7
11,Renault,459999,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,0.0121818181818181,0.0214117647058823,4
1959,Mercedes-Benz,4190000,90000,Diesel,Automatic,Ludhiana,Black,First,Individual,2143.0,AWD,4819.0,2141.0,1796.0,5.0,93.0,0.0528947368421052,0.3125,5
1067,Skoda,950000,32809,Diesel,Manual,Coimbatore,Silver,First,Individual,1598.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,0.0238636363636363,0.1,3
839,Mercedes-Benz,4100000,3826,Diesel,Automatic,Ahmedabad,White,Other,Individual,1950.0,FWD,4549.0,1796.0,1446.0,5.0,43.0,0.043235294117647,0.2285714285714285,0
1178,BMW,10800000,20000,Petrol,Automatic,Chandigarh,Red,First,Individual,2998.0,AWD,4935.0,2004.0,1696.0,5.0,83.0,0.0609090909090909,0.3,1
28,Hyundai,551000,47752,Petrol,Manual,Mumbai,White,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.0136666666666666,0.02875,7
612,Audi,745000,72000,Diesel,Automatic,Gurgaon,Black,First,Individual,,,,,,,,,,9
2015,Mahindra,1639999,43000,Diesel,Automatic,Mumbai,Other,First,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,0.0408,0.2057142857142857,4
874,Mercedes-Benz,1500000,75000,Petrol,Automatic,Chennai,Red,Second,Individual,3498.0,RWD,5076.0,1871.0,1473.0,5.0,90.0,,,13
1540,Ssangyong,975000,72000,Diesel,Automatic,Bangalore,Silver,First,Individual,2696.0,AWD,4755.0,1900.0,1785.0,7.0,78.0,0.046,0.134,9
1686,Honda,785000,23000,Petrol,Automatic,Chennai,Red,First,Individual,1199.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,0.0148333333333333,0.0229166666666666,4
337,BMW,4250000,32000,Petrol,Automatic,Mumbai,Blue,First,Individual,1998.0,RWD,4936.0,1868.0,1479.0,5.0,57.0,0.0476923076923076,0.2413793103448276,4
841,Hyundai,1115000,37000,Petrol,Manual,Delhi,Black,Second,Individual,1591.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,0.0190625,0.0311340206185567,4
435,BMW,5100000,6000,Petrol,Automatic,Raipur,White,First,Individual,1998.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,0.0476923076923076,0.2413793103448276,0
1521,Hyundai,390000,81000,Diesel,Manual,Lucknow,White,First,Individual,1120.0,FWD,3995.0,1660.0,1520.0,5.0,43.0,0.01775,0.1028571428571428,8
831,Renault,319000,89059,Petrol,Manual,Zirakpur,Other,First,Individual,799.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,0.0093342726312081,0.0164158686730506,4
691,Land Rover,5375000,80000,Diesel,Automatic,Delhi,White,Second,Individual,2993.0,AWD,4879.0,2073.0,1780.0,5.0,77.0,0.07225,0.3,8
564,Maruti Suzuki,661000,14366,Petrol,Manual,Ahmedabad,Other,First,Individual,1197.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,0.0148333333333333,0.0256818181818181,1
255,Honda,1060000,12382,Petrol,Manual,Pune,Maroon,First,Other,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.0177272727272727,0.0315217391304347,3
418,Skoda,640000,124000,Diesel,Manual,Coimbatore,Grey,First,Individual,1598.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,0.0238636363636363,0.1,6
1176,Hyundai,1299000,50000,Petrol,Automatic,Mumbai,White,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.0317525773195876,4
788,Mahindra,500000,135000,Diesel,Manual,Varanasi,Black,First,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,0.0373333333333333,0.1178571428571428,9
1812,Audi,1970000,85000,Diesel,Automatic,Chennai,Blue,Second,Individual,1968.0,FWD,4385.0,1831.0,1608.0,5.0,64.0,0.0428571428571428,0.1942857142857142,5
1481,Audi,1420000,117000,Diesel,Automatic,Chennai,Black,First,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,0.0414285714285714,0.2171428571428571,9
188,MG,1780000,65433,Diesel,Manual,Lucknow,Black,First,Individual,1956.0,FWD,4655.0,1835.0,1760.0,5.0,60.0,0.0450666666666666,0.2,2
1847,Hyundai,690000,65000,Diesel,Manual,Ahmedabad,White,First,Individual,1396.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.02225,0.1466666666666666,5
1003,Toyota,3100000,29000,Diesel,Manual,Bangalore,White,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,0.0435294117647058,0.245,1
312,Toyota,1525000,72000,Diesel,Automatic,Delhi,White,First,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,0.0469444444444444,0.2571428571428571,8
1207,Audi,1650000,139000,Diesel,Automatic,Jaipur,White,Second,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,0.0414285714285714,0.2171428571428571,6
665,Maruti Suzuki,665000,48000,Diesel,Manual,Delhi,Blue,First,Individual,1248.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.0185,0.095,5
1911,Hyundai,1100000,26000,Diesel,Manual,Patna,White,First,Individual,1582.0,FWD,4375.0,1700.0,1475.0,5.0,43.0,0.0315,0.1368421052631579,3
429,Ford,270000,64000,Petrol,Manual,Pune,Grey,First,Individual,1196.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,0.0112,0.0255,7
1744,Renault,250000,32000,Petrol,Manual,Kolkata,White,First,Individual,799.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,0.0093342726312081,0.0164158686730506,5
1597,Volvo,4400000,16519,Petrol,Automatic,Mumbai,White,First,Other,1969.0,FWD,4425.0,1863.0,1652.0,5.0,54.0,0.0374,0.2307692307692307,2
1218,Hyundai,875000,50000,Petrol,Manual,Mumbai,Silver,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.0317525773195876,5
1600,Mercedes-Benz,6500000,13000,Diesel,Automatic,Mumbai,Silver,First,Individual,1950.0,AWD,4658.0,1890.0,1644.0,5.0,66.0,0.0505263157894736,0.25,2
1802,Mercedes-Benz,1495000,72100,Diesel,Automatic,Mumbai,Red,Second,Individual,2987.0,RWD,5226.0,2120.0,1479.0,5.0,90.0,0.05875,0.2722222222222222,11
1144,Mahindra,671000,47000,Diesel,Manual,Patna,White,First,Individual,2179.0,RWD,4430.0,1817.0,1975.0,8.0,60.0,0.03,0.1611111111111111,9
964,Maruti Suzuki,480000,85000,Diesel,Manual,Lucknow,White,First,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0185,0.095,6
1453,Mahindra,1864999,30000,Diesel,Automatic,Bangalore,Blue,First,Individual,2184.0,AWD,3985.0,1820.0,1855.0,4.0,57.0,0.0346666666666666,0.1875,2
1211,Hyundai,575000,38000,Diesel,Manual,Patna,Silver,First,Individual,1396.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.02225,0.1466666666666666,6
1153,Hyundai,645000,58200,Petrol,Automatic,Mumbai,Silver,First,Individual,1591.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,0.0192063492063492,0.0376190476190476,7
1602,Maruti Suzuki,675000,49148,Petrol,Automatic,Mumbai,Blue,Second,Individual,1373.0,FWD,4265.0,1695.0,1685.0,7.0,45.0,0.0156666666666666,0.0325,6
1882,BMW,4195000,63651,Diesel,Automatic,Bangalore,White,First,Individual,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,0.0475,0.2285714285714285,5
384,BMW,3800000,87000,Diesel,Automatic,Raipur,Blue,First,Individual,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,0.0475,0.2285714285714285,4
125,Hyundai,200000,57000,Other,Manual,Kanpur,White,First,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,0.0112727272727272,0.032,9
2047,Honda,480000,49000,Petrol,Manual,Kolkata,Grey,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.0177272727272727,0.0315217391304347,7
218,Hyundai,1050000,97000,Diesel,Automatic,Zirakpur,Silver,First,Other,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0315,0.1394736842105263,5
112,Toyota,1400000,143000,Diesel,Automatic,Faridabad,White,Second,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,0.0469444444444444,0.2571428571428571,8
1807,Maruti Suzuki,351000,42000,Diesel,Manual,Patna,White,First,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0185,0.095,9
916,Ssangyong,900000,70000,Diesel,Manual,Mirzapur,Black,Second,Individual,2696.0,AWD,4755.0,1900.0,1785.0,7.0,78.0,0.0405,0.1046153846153846,6
758,Hyundai,565000,65000,Diesel,Manual,Ludhiana,White,Second,Individual,1396.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.02225,0.1466666666666666,7
869,Mercedes-Benz,4150000,48000,Diesel,Automatic,Chennai,Black,Second,Individual,1950.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,0.0505263157894736,0.25,5
1797,Maruti Suzuki,509999,48000,Petrol,Manual,Hyderabad,White,First,Individual,998.0,FWD,3695.0,1600.0,1560.0,5.0,35.0,0.0111666666666666,0.0257142857142857,3
1198,Audi,5500000,24000,Diesel,Automatic,Gurgaon,White,First,Individual,2967.0,AWD,5052.0,1968.0,1740.0,7.0,75.0,0.0841924398625429,0.4,5
1669,Hyundai,375000,34000,Petrol,Automatic,Mumbai,Red,First,Individual,1197.0,FWD,3585.0,1595.0,1550.0,5.0,35.0,0.0131666666666666,1.90475,9
1363,Maruti Suzuki,301000,28513,Petrol,Manual,Ahmedabad,Other,First,Individual,1197.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,0.0141666666666666,0.0285,11
2011,Datsun,250000,25000,Petrol,Manual,Kolkata,Grey,Second,Individual,999.0,FWD,3429.0,1560.0,1541.0,5.0,28.0,0.0121818181818181,0.0214117647058823,4
904,Volkswagen,310000,107879,Diesel,Manual,Pune,White,Second,Individual,,,,,,,,,,13
1090,Maruti Suzuki,425000,38848,Petrol,Manual,Panchkula,Silver,First,Individual,998.0,FWD,3565.0,1520.0,1564.0,5.0,27.0,0.0121818181818181,0.0257142857142857,1
866,Mercedes-Benz,7475000,13000,Diesel,Automatic,Delhi,Black,First,Individual,1950.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,0.0505263157894736,0.25,1
126,Hyundai,375000,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,7
593,Honda,675000,48650,Petrol,Automatic,Mumbai,Brown,First,Individual,1199.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,0.0148333333333333,0.0229166666666666,5
2030,Kia,1325000,20000,Petrol,Manual,Bangalore,Maroon,First,Individual,998.0,FWD,3995.0,1790.0,1647.0,5.0,45.0,0.0196666666666666,0.1146666666666666,1
1410,Maruti Suzuki,465000,65000,Petrol,Manual,Ahmedabad,White,Second,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0141666666666666,0.0285,8
880,Jeep,1240000,57000,Diesel,Manual,Mumbai,White,First,Individual,1956.0,FWD,4395.0,1818.0,1640.0,5.0,60.0,0.0456,0.2,5
494,Hyundai,1075000,45000,Petrol,Automatic,Raipur,White,First,Individual,1591.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,0.0190625,0.0311340206185567,3
481,BMW,4900000,65341,Diesel,Automatic,Pune,White,Second,Individual,2993.0,AWD,4886.0,1938.0,1762.0,5.0,,0.0645,0.3733333333333333,5
915,Renault,315000,15507,Petrol,Manual,Pune,Other,First,Individual,799.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,0.0093342726312081,0.0164158686730506,5
609,Audi,3500000,18000,Petrol,Automatic,Mumbai,White,First,Individual,1395.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,0.0296,0.1666666666666666,4
1558,Toyota,1375000,97000,Diesel,Manual,Jalandhar,White,First,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,0.0469444444444444,0.245,9
34,Hyundai,145000,72000,Other,Manual,Kanpur,Silver,Second,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,0.0112727272727272,0.032,13
273,Hyundai,1875000,18000,Petrol,Automatic,Mumbai,Black,First,Individual,1353.0,FWD,4300.0,1790.0,1635.0,5.0,50.0,0.023,0.1613333333333333,2
1382,Hyundai,550000,56000,Petrol,Manual,Hyderabad,Grey,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,4
301,Honda,900000,17000,Petrol,Manual,Ahmedabad,White,First,Individual,1199.0,FWD,3999.0,1734.0,1601.0,5.0,40.0,0.0148333333333333,0.0229166666666666,3
589,Kia,1275000,42000,Petrol,Manual,Ahmedabad,Black,First,Individual,1497.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,0.0179365079365079,0.032,2
1385,Maruti Suzuki,711000,67900,Diesel,Manual,Mumbai,Red,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.1142857142857142,4
1777,Mahindra,950000,41000,Diesel,Manual,Patna,Blue,First,Individual,2523.0,RWD,4456.0,1820.0,1930.0,8.0,60.0,0.0234375,0.1428571428571428,4
1191,Mahindra,1035000,79000,Diesel,Manual,Mysore,Other,First,Individual,2498.0,AWD,3920.0,1710.0,1930.0,7.0,60.0,,,5
1860,Toyota,2150000,45000,Diesel,Automatic,Mumbai,Grey,First,Individual,2755.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,0.0505882352941176,0.3,5
146,Hyundai,385000,79287,Petrol,Manual,Kanpur,White,First,Individual,1197.0,FWD,3995.0,1710.0,1505.0,5.0,45.0,0.0138333333333333,0.199,9
1137,BMW,4749000,14000,Petrol,Automatic,Mumbai,White,First,Individual,1998.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,0.0476923076923076,0.2413793103448276,2
684,MG,1625000,7000,Petrol,Automatic,Pune,Red,First,Individual,1451.0,,4655.0,1835.0,1760.0,5.0,60.0,0.0282,0.15625,3
1821,Toyota,160000,90000,Diesel,Manual,Varanasi,White,Other,Individual,2494.0,,4555.0,1770.0,1755.0,8.0,55.0,,,14
660,Maruti Suzuki,715000,16000,Petrol,Manual,Delhi,Grey,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.0138333333333333,0.02875,1
1303,Mercedes-Benz,1750000,99000,Diesel,Automatic,Chennai,White,Second,Individual,2143.0,FWD,4417.0,1804.0,1494.0,5.0,50.0,0.0372222222222222,0.1875,7
16,Maruti Suzuki,449000,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796.0,FWD,3445.0,1515.0,1475.0,5.0,35.0,0.0078333333333333,0.0197142857142857,3
1323,Maruti Suzuki,140000,65000,Petrol,Manual,Yamunanagar,Silver,Third,Individual,796.0,,3495.0,1475.0,1460.0,5.0,35.0,,,13
1076,Maruti Suzuki,595000,44100,Petrol,Automatic,Mumbai,Silver,First,Other,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0138333333333333,0.02875,5
756,Mercedes-Benz,5400000,4600,Diesel,Automatic,Bangalore,White,Other,Individual,2148.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,,,0
1535,Mercedes-Benz,675000,97000,Diesel,Automatic,Mumbai,Black,First,Individual,2143.0,RWD,4596.0,2020.0,1447.0,5.0,66.0,,,11
582,Land Rover,22000000,35000,Diesel,Automatic,Pune,Blue,First,Individual,2993.0,AWD,4999.0,2220.0,1835.0,5.0,105.0,0.061,0.3,3
799,Tata,1875000,28000,Diesel,Manual,Gorakhpur,White,First,Individual,1956.0,FWD,4661.0,1894.0,1786.0,7.0,50.0,0.0448,0.2,1
124,Maruti Suzuki,415000,57402,Petrol,Manual,Delhi,Grey,First,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0141666666666666,0.0285,8
576,Skoda,3199000,6900,Petrol,Automatic,Kolkata,Brown,First,Individual,1798.0,FWD,4861.0,1864.0,1483.0,5.0,66.0,0.0347058823529411,0.2,1
1885,Hyundai,250000,82461,Petrol,Manual,Hyderabad,Red,First,Individual,814.0,FWD,3495.0,1550.0,1500.0,5.0,32.0,0.01,0.01875,9
1365,Ford,225000,87000,Diesel,Manual,Mohali,Grey,First,Individual,1399.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,0.017,0.08,9
899,Toyota,450000,95000,Petrol,Automatic,Mumbai,White,First,Individual,1794.0,FWD,4540.0,1760.0,1480.0,5.0,55.0,,,11
1863,Hyundai,1180000,38000,Petrol,Automatic,Bangalore,White,First,Individual,1591.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,0.0192063492063492,0.0376190476190476,3
1462,Maruti Suzuki,220000,62000,Petrol,Manual,Bhopal,Brown,First,Individual,998.0,FWD,3600.0,1475.0,1595.0,5.0,35.0,0.0108064516129032,0.0257142857142857,12
779,BMW,4150000,29000,Diesel,Automatic,Delhi,Blue,First,Individual,1995.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,0.047,0.2285714285714285,3
1869,Audi,3675000,34000,Diesel,Automatic,Ghaziabad,Black,First,Individual,1968.0,FWD,4933.0,1874.0,1455.0,5.0,75.0,0.05,0.2285714285714285,3
1316,Honda,590000,75258,Petrol,Automatic,Mumbai,White,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.0177272727272727,0.0315217391304347,7
1068,Toyota,1750000,101000,Diesel,Automatic,Jalandhar,White,First,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,0.0469444444444444,0.2571428571428571,8
663,Honda,445000,111000,Petrol,Manual,Ernakulam,Red,First,Individual,1497.0,FWD,4440.0,1695.0,1485.0,5.0,42.0,0.0175757575757575,0.0304166666666666,10
1831,Skoda,1160000,47981,Diesel,Automatic,Mumbai,Black,First,Individual,1968.0,FWD,4659.0,1814.0,1476.0,5.0,50.0,0.03525,0.1828571428571428,7
336,Mahindra,484999,102000,Diesel,Manual,Mumbai,Grey,Second,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,0.0373333333333333,0.1178571428571428,10
383,Land Rover,5950000,35000,Diesel,Automatic,Delhi,Other,First,Individual,1999.0,AWD,4371.0,1996.0,1649.0,5.0,66.5,0.04425,0.2457142857142857,1
1152,Toyota,375000,77000,Petrol,Manual,Faridabad,Silver,First,Individual,1794.0,FWD,4540.0,1760.0,1480.0,5.0,55.0,,,11
1192,Hyundai,1075000,12020,Petrol,Automatic,Mumbai,White,First,Individual,1197.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,0.0145,0.0766666666666666,1
1874,Maruti Suzuki,409999,13424,Petrol,Manual,Ranga Reddy,Silver,First,Individual,796.0,FWD,3445.0,1515.0,1475.0,5.0,35.0,0.0078333333333333,0.0197142857142857,1
872,BMW,3550000,59000,Diesel,Automatic,Chandigarh,Other,First,Individual,2993.0,AWD,4886.0,1938.0,1762.0,7.0,,0.0645,0.3733333333333333,7
1109,Mahindra,950000,55000,Diesel,Manual,Patna,White,Second,Individual,1997.0,RWD,4456.0,1820.0,1995.0,8.0,60.0,0.03,0.1555555555555555,5
385,Hyundai,1000000,42000,Petrol,Automatic,Kolkata,White,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.0317525773195876,4
982,Honda,850000,52890,Petrol,Manual,Gurgaon,Silver,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.0177272727272727,0.0315217391304347,4
2004,Mercedes-Benz,335000,140987,Diesel,Automatic,Jalandhar,Other,Second,Individual,2987.0,RWD,4818.0,1822.0,1420.0,5.0,80.0,,,14
243,Maruti Suzuki,699000,43000,Diesel,Automatic,Mumbai,Red,First,Individual,1248.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,0.0185,0.095,4
1563,Mercedes-Benz,6100000,500,Diesel,Automatic,Delhi,Grey,First,Individual,1950.0,RWD,4686.0,1810.0,1442.0,5.0,66.0,0.0505263157894736,0.25,0
1996,Maruti Suzuki,860000,33030,Diesel,Manual,Jaipur,Red,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.1142857142857142,4
1998,Maruti Suzuki,725000,55000,Petrol,Automatic,Noida,White,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.0151666666666666,0.0325,5
458,Mahindra,1121000,38000,Diesel,Manual,Patna,White,First,Individual,2523.0,RWD,4456.0,1820.0,1930.0,7.0,60.0,0.0234375,0.1428571428571428,3
450,Tata,1200000,95785,Diesel,Automatic,Hyderabad,Blue,First,Individual,2179.0,RWD,4788.0,1903.0,1791.0,7.0,60.0,0.0385,0.2352941176470588,5
366,Tata,484999,35000,Petrol,Automatic,Patna,Blue,First,Individual,1199.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,0.014,0.0325714285714285,4
