,Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,power_per_rpm,torque_per_rpm,Age
42,Audi,1575000,66000,Diesel,Automatic,Hyderabad,White,First,Individual,1968.0,FWD,4701.0,1826.0,1427.0,5.0,63.0,0.04214285714285714,0.21714285714285714,9
43,Mercedes-Benz,2400000,34105,Petrol,Automatic,Mumbai,Grey,First,Individual,1796.0,RWD,4082.0,1777.0,1297.0,2.0,70.0,,,12
44,Hyundai,525000,68397,Petrol,Manual,Patna,Other,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.013666666666666667,0.02875,7
45,Mahindra,625000,65000,Diesel,Manual,Yamunanagar,White,Second,Individual,2498.0,AWD,3920.0,1726.0,1930.0,6.0,60.0,0.02763157894736842,0.13722222222222222,7
46,Maruti Suzuki,605000,27469,Petrol,Manual,Delhi,Silver,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.013833333333333333,0.02875,3
47,Maruti Suzuki,412000,41058,Petrol,Automatic,Delhi,Silver,First,Individual,998.0,FWD,3600.0,1600.0,1560.0,5.0,35.0,0.011166666666666667,0.025714285714285714,6
48,Maruti Suzuki,625000,51330,Diesel,Manual,Mumbai,Brown,First,Individual,1248.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.02225,0.11428571428571428,6
49,Maruti Suzuki,511000,45969,Petrol,Manual,Mumbai,Silver,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.015166666666666667,0.0325,7
50,Hyundai,1150000,66602,Diesel,Automatic,Mumbai,Grey,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0315,0.1394736842105263,5
51,Hyundai,885000,57983,Petrol,Manual,Mumbai,White,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.03175257731958763,6
52,Renault,470000,11183,Petrol,Automatic,Mumbai,Silver,First,Individual,999.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,0.012181818181818183,0.021411764705882352,3
53,MG,1611000,46301,Diesel,Manual,Mumbai,White,First,Individual,1956.0,FWD,4655.0,1835.0,1760.0,5.0,60.0,0.045066666666666665,0.2,3
54,Tata,475000,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,1199.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,0.014,0.03257142857142857,5
55,Toyota,865000,43634,Diesel,Manual,Delhi,Silver,First,Individual,2494.0,RWD,4585.0,1765.0,1760.0,7.0,55.0,0.028055555555555556,0.16666666666666666,7
56,BMW,3800000,9512,Diesel,Automatic,Mumbai,Blue,First,Other,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,0.0475,0.22857142857142856,4
57,Jeep,2475000,11293,Diesel,Automatic,Mumbai,White,First,Individual,1956.0,AWD,4395.0,1818.0,1640.0,5.0,60.0,0.0456,0.2,2
58,Mahindra,400000,78000,Diesel,Manual,Gurgaon,White,Second,Individual,2179.0,RWD,4430.0,1817.0,1975.0,8.0,60.0,0.03,0.16111111111111112,8
59,Honda,440000,50374,Petrol,Manual,Vadodara,White,First,Individual,1198.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,0.0145,0.02422222222222222,6
60,BMW,2800000,15900,Petrol,Automatic,Delhi,White,First,Individual,1998.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,0.0362,0.2,5
61,Honda,645000,64000,Petrol,Manual,Mumbai,White,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.017727272727272727,0.03152173913043478,5
62,Volkswagen,365000,78000,Diesel,Manual,Jaipur,Silver,First,Individual,1199.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,0.017619047619047618,0.09,9
63,Maruti Suzuki,1044999,24000,Petrol,Manual,Mumbai,Silver,First,Individual,1462.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.017166666666666667,0.031363636363636364,1
64,Maruti Suzuki,515000,40310,Petrol,Manual,Pune,Grey,Second,Individual,1196.0,RWD,3675.0,1475.0,1800.0,7.0,40.0,0.012166666666666666,0.033666666666666664,3
65,Hyundai,455000,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.013166666666666667,0.028,7
66,BMW,1800000,74073,Diesel,Automatic,Hyderabad,Black,First,Individual,1995.0,AWD,4648.0,1881.0,1661.0,5.0,67.0,0.046,0.21714285714285714,10
67,Toyota,3499000,73000,Diesel,Automatic,Mumbai,White,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,0.051176470588235295,0.28125,3
68,Honda,190000,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799.0,FWD,4545.0,1750.0,1450.0,5.0,50.0,0.020634920634920634,0.01441860465116279,16
69,Audi,1250000,50000,Diesel,Automatic,Mumbai,White,First,Individual,,,,,,,,,,10
70,Maruti Suzuki,775000,24000,Petrol,Automatic,Agra,Grey,First,Individual,1197.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,0.014833333333333334,0.02568181818181818,1
71,Hyundai,825000,43000,Diesel,Manual,Agra,White,First,Individual,1493.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,0.02475,0.16,1
72,Audi,2250000,40500,Diesel,Automatic,Goa,White,First,Individual,1968.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,0.040285714285714286,0.18285714285714286,6
73,Honda,865000,49013,Petrol,Automatic,Mumbai,Grey,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.017727272727272727,0.03152173913043478,5
74,Ford,299000,64983,Diesel,Manual,Mumbai,Red,First,Individual,1399.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,0.017,0.08,9
75,Honda,570000,92270,Petrol,Manual,Mumbai,Brown,First,Individual,1199.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,0.014833333333333334,0.022916666666666665,5
76,Volkswagen,385000,65000,Petrol,Manual,Mumbai,White,First,Individual,1198.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,0.013703703703703704,0.029333333333333333,9
77,Honda,350000,110000,Diesel,Manual,Warangal,Black,First,Individual,1498.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,0.0275,0.11428571428571428,8
78,Toyota,2345000,47000,Petrol,Automatic,Delhi,Brown,First,Individual,2494.0,FWD,4825.0,1825.0,1480.0,5.0,70.0,0.029833333333333333,0.05682926829268293,5
79,Mahindra,1650000,10000,Petrol,Automatic,Jalandhar,Black,First,Individual,1997.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,0.03,0.21333333333333335,0
80,Mercedes-Benz,1100000,51500,Diesel,Automatic,Hyderabad,Black,Second,Individual,2143.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,,,11
81,Audi,2900000,35000,Diesel,Automatic,Pune,White,First,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,0.052571428571428575,0.21714285714285714,4
82,Maruti Suzuki,545000,61518,Petrol,Manual,Noida,Red,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.013833333333333333,0.02875,5
83,BMW,2990000,34000,Diesel,Automatic,Delhi,White,First,Other,1995.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,0.046,0.2,4
84,Maruti Suzuki,615000,36058,Petrol,Manual,Mumbai,Silver,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.013833333333333333,0.02875,5
85,Hyundai,890000,88000,Diesel,Automatic,Ahmedabad,Silver,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0315,0.1394736842105263,6
86,Volkswagen,430000,98112,Petrol,Manual,Mumbai,Brown,First,Individual,1598.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,0.01961904761904762,0.04026315789473684,7
87,Mercedes-Benz,1650000,58000,Diesel,Automatic,Bangalore,Silver,First,Individual,2143.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,0.04047619047619048,0.14285714285714285,9
88,Toyota,1599000,92355,Petrol,Automatic,Mumbai,Silver,First,Individual,2494.0,FWD,4825.0,1825.0,1480.0,5.0,65.0,0.03543859649122807,0.06,7
89,Maruti Suzuki,691000,16652,Petrol,Manual,Ahmedabad,White,First,Individual,1197.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,0.014833333333333334,0.02568181818181818,3
90,Nissan,650000,76584,Diesel,Manual,Mumbai,White,First,Individual,1461.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,0.027692307692307693,0.11022222222222222,6
91,Maruti Suzuki,415000,42500,Other,Manual,Mumbai,Brown,First,Individual,998.0,FWD,3599.0,1495.0,1700.0,5.0,35.0,0.00935483870967742,0.022,7
92,Maruti Suzuki,669000,70000,Diesel,Manual,Mohali,Grey,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,6
93,BMW,2950000,84700,Diesel,Automatic,Navi Mumbai,Black,Second,Individual,2993.0,AWD,4886.0,1938.0,1762.0,5.0,,0.0645,0.37333333333333335,7
94,Mercedes-Benz,3900000,83400,Diesel,Automatic,Hyderabad,White,Second,Individual,,,,,,,,,,4
95,Porsche,16200000,2766,Petrol,Automatic,Mumbai,Blue,First,Individual,2995.0,AWD,4931.0,1983.0,1676.0,4.0,75.0,0.06320754716981132,0.3358208955223881,0
96,Mercedes-Benz,5100000,56000,Petrol,Automatic,Ghaziabad,White,Second,Individual,1991.0,RWD,4686.0,1810.0,1409.0,4.0,59.0,0.04381818181818182,0.2846153846153846,5
97,Hyundai,525000,68766,Petrol,Manual,Mumbai,Silver,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.013666666666666667,0.02875,7
98,Hyundai,750000,16339,Petrol,Manual,Kolkata,Black,First,Individual,1591.0,FWD,4375.0,1700.0,1475.0,5.0,43.0,0.019206349206349206,0.03761904761904762,4
99,Honda,445000,63882,Petrol,Manual,Mumbai,Other,First,Individual,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,0.0145,0.02422222222222222,6
100,Toyota,493000,28732,Petrol,Manual,Zirakpur,Silver,First,Individual,1798.0,FWD,4540.0,1760.0,1480.0,5.0,55.0,0.0215625,0.04325,10
101,Hyundai,611000,51349,Petrol,Manual,Nagpur,Red,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.013666666666666667,0.02875,5
102,Hyundai,475000,61866,Petrol,Automatic,Thane,White,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.013166666666666667,0.028,8
103,Hyundai,925000,29401,Petrol,Manual,Mumbai,Grey,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,0.0190625,0.03175257731958763,5
104,Audi,1325000,98580,Diesel,Automatic,Goa,White,First,Individual,1968.0,FWD,4915.0,1874.0,1455.0,5.0,65.0,0.0472,0.21714285714285714,10
105,BMW,3900000,8000,Diesel,Automatic,Delhi,Black,First,Individual,1995.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,0.046,0.2,1
106,Mahindra,1299000,31348,Diesel,Manual,Bangalore,White,First,Individual,1497.0,FWD,3995.0,1821.0,1627.0,5.0,42.0,0.030666666666666665,0.2,2
107,Maruti Suzuki,580000,28851,Diesel,Manual,Kolkata,Blue,First,Other,1248.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,0.0185,0.095,4
108,Honda,229000,38175,Petrol,Manual,Kolkata,Blue,First,Individual,,,,,,,,,,9
109,Mahindra,1575000,8519,Petrol,Manual,Mumbai,Blue,First,Individual,1997.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,0.03,0.24,1
110,Honda,375000,78000,Petrol,Manual,Pune,Other,First,Individual,1497.0,FWD,4420.0,1695.0,1480.0,5.0,42.0,,,11
111,Mercedes-Benz,2250000,48000,Diesel,Automatic,Mumbai,White,First,Individual,2143.0,RWD,4879.0,1854.0,1474.0,5.0,80.0,0.04857142857142857,0.3125,7
112,Toyota,1400000,143000,Diesel,Automatic,Faridabad,White,Second,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,0.04694444444444444,0.2571428571428571,8
113,Tata,425000,39000,Diesel,Manual,Ranchi,Silver,First,Other,1248.0,FWD,3995.0,1706.0,1570.0,5.0,44.0,0.0185,0.10857142857142857,5
114,Skoda,425000,24000,Petrol,Automatic,Mumbai,Other,Second,Individual,1598.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,0.019809523809523808,0.04026315789473684,8
115,Maruti Suzuki,250000,62000,Petrol,Manual,Kanpur,Maroon,Second,Individual,796.0,FWD,3395.0,1490.0,1475.0,5.0,35.0,0.007833333333333333,0.019714285714285715,7
116,Maruti Suzuki,425000,78000,Diesel,Manual,Jalandhar,White,Second,Individual,1248.0,FWD,4265.0,1695.0,1685.0,7.0,45.0,0.02225,0.11428571428571428,10
117,Hyundai,120000,48500,Other,Manual,Lucknow,Grey,Other,Individual,1086.0,,3565.0,1525.0,1590.0,5.0,35.0,,,13
118,Ford,235000,82000,Diesel,Manual,Ludhiana,White,Second,Individual,1399.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,0.017,0.08,8
119,Audi,3050000,40910,Diesel,Automatic,Bangalore,White,First,Individual,1968.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,0.040285714285714286,0.18285714285714286,2
120,Tata,2145000,10290,Diesel,Manual,Bangalore,Red,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,0.0448,0.2,2
121,Hyundai,1245000,10530,Petrol,Automatic,Bangalore,Red,First,Individual,998.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,0.019666666666666666,0.11466666666666667,1
122,Hyundai,549000,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.013666666666666667,0.02875,7
123,Volkswagen,484999,78000,Diesel,Manual,Bangalore,White,Second,Individual,1199.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,0.017619047619047618,0.09,9
124,Maruti Suzuki,415000,57402,Petrol,Manual,Delhi,Grey,First,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.014166666666666666,0.0285,8
125,Hyundai,200000,57000,Other,Manual,Kanpur,White,First,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,0.011272727272727273,0.032,9
126,Hyundai,375000,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,7
127,Tata,1375000,16000,Other,Automatic,Mumbai,White,First,Individual,,FWD,3993.0,1811.0,1606.0,5.0,,,,1
128,Hyundai,1875000,18000,Petrol,Automatic,Delhi,Black,First,Individual,1353.0,FWD,4300.0,1790.0,1635.0,5.0,50.0,0.023,0.16133333333333333,0
129,Audi,2950000,10700,Petrol,Automatic,Ahmedabad,White,First,Individual,1984.0,AWD,4318.0,1805.0,1548.0,5.0,55.0,0.04476190476190476,0.21333333333333335,2
130,Audi,4900000,78000,Diesel,Automatic,Chandigarh,Black,First,Individual,2967.0,AWD,5052.0,1968.0,1740.0,7.0,75.0,0.08419243986254296,0.4,4
131,Hyundai,1050000,16282,Petrol,Automatic,Pune,White,First,Individual,998.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,0.019666666666666666,0.11466666666666667,2
132,Hyundai,470000,66000,Diesel,Manual,Amritsar,Grey,Third,Individual,1582.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,0.0315,0.1368421052631579,9
133,Maruti Suzuki,345000,72019,Petrol,Manual,Ranchi,Silver,Second,Individual,998.0,FWD,3599.0,1495.0,1700.0,5.0,35.0,0.010806451612903226,0.025714285714285714,5
134,BMW,1490000,195000,Diesel,Automatic,Hyderabad,White,First,Individual,1995.0,RWD,4899.0,2094.0,1464.0,5.0,,0.046,0.21714285714285714,9
135,Mahindra,550000,92170,Diesel,Manual,Ranchi,White,Second,Individual,2609.0,RWD,4495.0,1817.0,1975.0,7.0,60.0,,,15
136,Hyundai,484999,55221,Petrol,Manual,Mumbai,White,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,4
137,Toyota,3350000,25000,Diesel,Automatic,Noida,White,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,0.051176470588235295,0.28125,4
138,Maruti Suzuki,210000,58888,Petrol,Manual,Delhi,Maroon,Second,Individual,,,,,,,,,,11
139,Audi,5651000,1,Petrol,Automatic,Delhi,Blue,Other,Individual,1984.0,AWD,4663.0,1898.0,1659.0,5.0,70.0,0.0496,0.23125,0
140,Renault,890000,23500,Petrol,Manual,Chennai,White,First,Individual,1498.0,FWD,4360.0,1822.0,1695.0,5.0,50.0,0.01875,0.0355,2
141,Maruti Suzuki,325000,68000,Petrol,Manual,Kanpur,White,Second,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.014166666666666666,0.0285,10
142,Hyundai,1390000,29096,Petrol,Automatic,Mumbai,White,First,Individual,1591.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,0.0190625,0.0311340206185567,3
143,Hyundai,459999,61223,Petrol,Manual,Kanpur,White,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,6
144,Jeep,1075000,86000,Diesel,Manual,Ludhiana,White,First,Individual,1956.0,FWD,4395.0,1818.0,1640.0,5.0,60.0,0.0456,0.2,5
145,Hyundai,484999,87000,Diesel,Manual,Ludhiana,White,First,Individual,1582.0,FWD,4440.0,1729.0,1475.0,5.0,45.0,0.0315,0.17333333333333334,9
146,Hyundai,385000,79287,Petrol,Manual,Kanpur,White,First,Individual,1197.0,FWD,3995.0,1710.0,1505.0,5.0,45.0,0.013833333333333333,0.199,9
147,Mercedes-Benz,4400000,47009,Diesel,Automatic,Pune,Blue,Second,Individual,,,,,,,,,,4
148,Audi,3900000,48945,Diesel,Automatic,Goa,Black,First,Other,1968.0,FWD,4933.0,1874.0,1455.0,5.0,75.0,0.05,0.22857142857142856,4
149,Mahindra,1050000,17000,Diesel,Manual,Lucknow,Other,First,Individual,1497.0,FWD,4585.0,1866.0,1774.0,8.0,45.0,0.03457142857142857,0.17142857142857143,3
150,Kia,1575000,55000,Diesel,Manual,Lucknow,Silver,First,Individual,1493.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,0.02825,0.16666666666666666,3
151,Maruti Suzuki,655000,38779,Petrol,Manual,Mumbai,Blue,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.013833333333333333,0.02875,6
152,Mercedes-Benz,4500000,72000,Diesel,Automatic,Pune,White,First,Individual,1950.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,0.05052631578947368,0.25,3
153,Maruti Suzuki,865000,67000,Diesel,Manual,Navi Mumbai,White,First,Individual,1248.0,FWD,4296.0,1695.0,1685.0,7.0,45.0,0.02225,0.11428571428571428,6
154,Hyundai,699000,67000,Petrol,Manual,Navi Mumbai,White,First,Individual,1591.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,0.019206349206349206,0.03761904761904762,5
155,Hyundai,425000,70000,Diesel,Manual,Jalandhar,White,Second,Individual,1582.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,0.0315,0.1368421052631579,10
156,Land Rover,6500000,6000,Diesel,Automatic,Hyderabad,White,First,Individual,1999.0,AWD,4600.0,2069.0,1724.0,7.0,70.0,0.04425,0.24571428571428572,2
157,Toyota,2900000,46000,Diesel,Automatic,Delhi,White,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,0.051176470588235295,0.28125,5
158,Mercedes-Benz,4550000,34000,Diesel,Automatic,Navi Mumbai,Silver,First,Individual,2143.0,AWD,4819.0,2141.0,1796.0,5.0,93.0,0.052894736842105265,0.3125,5
159,Hyundai,490000,23103,Petrol,Manual,Udupi,White,First,Individual,1197.0,FWD,3995.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,7
160,Mercedes-Benz,11500000,27000,Petrol,Automatic,Delhi,Blue,First,Individual,4663.0,RWD,5453.0,1899.0,1498.0,4.0,70.0,0.08628571428571429,0.3888888888888889,6
